frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
52,2.0,[745.43212239058 208.500207629719 1119.953419239227 577.9248407463776],[837.3443603515625 442.2977600097656 966.193115234375 478.2754821777344],0.6267097592353821,EUWI,0.06704000035986565
53,83.0,[624.159542285279 119.56097332712491 959.8897629096239 530.3042310199401],[826.4572143554688 442.44317626953125 926.4502563476562 480.58782958984375],0.6149402856826782,TESUIVS,0.07002361030706004
54,2.0,[731.1100490667436 206.9727648334892 1112.8058640294407 583.4016543714927],[832.0916748046875 442.94091796875 960.6810302734375 480.6943359375],0.6466585397720337,IESUI,0.1398004232375519
55,83.0,[695.7387636706833 170.00348743445673 1054.5171490616747 576.897680180302],[826.626220703125 450.2663879394531 949.134033203125 482.8422546386719],0.7022144794464111,MB,0.16194897997965377
56,83.0,[629.1797768908367 137.90506977264866 991.2894853878398 549.3462055287767],[816.843994140625 453.4078369140625 942.780517578125 485.450927734375],0.6741422414779663,JIL,0.12859624993762708
57,83.0,[597.8725938533546 125.98122472665418 963.9139474554652 540.8182234113355],[812.1793823242188 456.487060546875 940.8960571289062 490.0828857421875],0.7412148714065552,N,0.23948523158424084
58,83.0,[581.7923753372394 120.21049851279665 950.040590099832 538.1037841425352],[800.6937255859375 458.26702880859375 934.5252685546875 490.79217529296875],0.7406002283096313,ETDI,0.042774859046885286
59,2.0,[695.5111014368406 201.11820124606894 1099.6159522631124 598.01854642418],[795.016845703125 458.6851806640625 932.5123291015625 494.23260498046875],0.7484657764434814,TEADI,0.1291698388231847
60,2.0,[692.0445374608742 200.80069315506506 1098.9846357530444 601.9208122433308],[791.1107177734375 461.1964111328125 920.2744140625 496.67987060546875],0.746505081653595,7E,0.06499037205704601
60,83.0,[549.4958614125258 119.0756815660838 892.9576165377184 538.7458121512766],[621.9175415039062 450.66485595703125 691.8316040039062 476.35357666015625],0.2553110718727112,GACUB,0.2091192361113208
60,82.0,[-19.511943467426306 212.10974660781122 457.2452520766309 577.1668433069943],[2.9282379150390625 355.6157531738281 228.5009765625 466.5417175292969],0.25364789366722107,MNG,0.21574553088817774
63,107.0,[656.0985698591649 193.68391907994632 1092.8890512756313 614.0615335619434],[765.897705078125 467.58160400390625 892.311279296875 500.5096435546875],0.6904553771018982,0,0.6549069744105509
64,107.0,[647.9098849396449 190.80224746564642 1092.1232510022278 617.2675947685921],[758.9376831054688 467.529296875 901.9755249023438 502.48944091796875],0.7577864527702332,TE,0.0636099259065542
65,107.0,[637.8359025295232 187.72417361600918 1090.3327608287727 621.797416232482],[757.7637939453125 467.662353515625 895.5762939453125 504.1680908203125],0.7223419547080994,04,0.9785682814861539
65,97.0,[505.9549608269692 250.4734159509812 680.3846475590422 549.262509036757],[582.228271484375 455.913818359375 646.1484375 480.1484375],0.49426475167274475,GAOAUJ,0.08829923202141146
67,97.0,[484.20278848822954 252.4228939559907 662.0532056786726 556.1607007658185],[562.8287963867188 455.4049072265625 628.7179565429688 483.5660400390625],0.36182764172554016,IGAUU,0.11268841982651807
68,97.0,[475.8109750482763 251.55192396150167 656.8433506937702 559.17295137068],[555.2110595703125 459.7513732910156 613.3956298828125 486.3083190917969],0.3516537845134735,GADJU,0.41366290810705586
69,107.0,[599.3181864468654 178.40494097257798 1079.3758155368234 634.6848058980369],[719.08251953125 470.74560546875 861.26611328125 513.052978515625],0.5871291756629944,EDWI,0.14513032688611088
69,97.0,[460.7503054793664 249.10343484102836 644.0890560344154 561.1839442407769],[534.5811157226562 460.51141357421875 606.7025756835938 486.19830322265625],0.41380608081817627,GAJU,0.1652297494187965
70,107.0,[592.3765459363126 177.01238806170497 1079.238508173919 639.0143146691769],[711.9027099609375 468.8451843261719 859.2266845703125 516.1376953125],0.6500281691551208,M,0.5096703926708942
70,97.0,[450.3604997352297 244.8426341156173 635.1577405592757 561.3320205865319],[527.9593505859375 462.63427734375 593.7926025390625 491.67138671875],0.255216509103775,GAJGU,0.1271899737082554
71,107.0,[582.8236752101784 175.01395191159997 1076.9151453628679 642.9842005347653],[700.9771118164062 471.3734130859375 848.5492553710938 515.8067626953125],0.6686222553253174,LEUI,0.4677796959877014
72,107.0,[571.1277649468506 172.30611770909647 1073.3061673000104 645.8913824542991],[694.39453125 475.41015625 835.237548828125 517.5750732421875],0.6396954655647278,ESWJ,0.05198074132204056
73,107.0,[560.9857939356491 168.95141979091628 1073.2231496258298 647.7757007116049],[684.5343017578125 477.80413818359375 835.3614501953125 519.2433471679688],0.6979231238365173,M1,0.09836426519119963
75,70.0,[385.6721955709383 241.70061027074726 578.7220701777753 572.7532687936414],[471.9539794921875 467.03326416015625 545.431396484375 496.23345947265625],0.40040865540504456,IGAOAU5,0.18323744480687282
77,107.0,[509.5783423242345 159.0779929466593 1057.741045686201 663.8359979972512],[636.8896484375 489.489501953125 800.2174072265625 527.7999267578125],0.7476282715797424,E4,0.1025670281498801
78,107.0,[495.7113549771642 154.85648586830604 1051.6754963217418 667.7644612652098],[627.3037109375 490.90289306640625 784.13134765625 529.8032836914062],0.764563262462616,OI,0.10643812268972397
79,107.0,[485.66043070826464 152.00554150314508 1043.7630462132174 672.5643583782452],[611.9275512695312 492.16558837890625 776.5547485351562 531.1166381835938],0.7554753422737122,,0.535741444311725
80,107.0,[469.49013734698366 150.25709601680683 1032.8702501546627 677.6472740253308],[600.838623046875 492.3489990234375 768.1717529296875 534.82373046875],0.7729008793830872,M,0.5643644735343776
80,97.0,[310.1719312224994 241.87510471366332 516.7955273055377 590.1236592201238],[401.7987060546875 474.610107421875 476.742431640625 507.228271484375],0.27739426493644714,ICAU,0.025708758244662747
81,107.0,[441.881961998145 145.49230671464335 1008.5552178063474 680.2834984728493],[588.3670654296875 495.2283935546875 755.4830322265625 535.7391357421875],0.7742104530334473,4M1,0.27344378691248783
82,107.0,[419.1767864652882 133.21087172368397 980.8379807549634 658.1962645324347],[574.3353271484375 494.501220703125 744.5474853515625 537.95458984375],0.7786665558815002,LEAM,0.2764382892067885
83,107.0,[398.1268638073412 118.86402859780554 954.9993405142525 630.4910679403656],[560.1036376953125 492.725830078125 737.9395751953125 542.468505859375],0.7603174448013306,JM,0.3025754647985665
84,144.0,[443.1640562632118 455.45179411522787 832.0185023305916 694.0896899785474],[547.4878540039062 495.825927734375 730.9234008789062 544.459228515625],0.7234578728675842,M,0.45399847672669935
85,144.0,[366.8149479177242 245.68778068453645 922.7317168454216 642.2817818305903],[533.4820556640625 496.62054443359375 712.7379150390625 547.2861938476562],0.6828639507293701,M,0.766957072156206
87,107.0,[324.13203141459 97.52221244438113 841.3180551808134 631.8510645465431],[504.60699462890625 495.6307373046875 676.3169555664062 553.329345703125],0.6536022424697876,MTC,0.3000207841396332
88,152.0,[172.9115613481211 231.86626348499405 388.7504691620698 609.2469162978272],[268.10699462890625 492.17938232421875 350.310791015625 520.7675170898438],0.5830589532852173,MOAU,0.11041830751951913
88,107.0,[296.45181908222514 100.28557349619774 783.337611173123 627.3999807545745],[487.14617919921875 504.656494140625 589.9202270507812 554.922119140625],0.4905998706817627,FL,0.17324704125439094
89,152.0,[150.88725697265707 226.42793256007715 372.046319234835 611.3452513082736],[248.87435913085938 494.21337890625 324.2575378417969 520.189208984375],0.5705100297927856,G0U,0.1419479172573535
90,151.0,[128.394133772582 224.1715309766064 354.01134326712065 618.5573150163336],[228.48178100585938 493.8424072265625 316.4471130371094 522.8792724609375],0.6325039863586426,IGOBUT,0.04371772361065579
108,165.0,[845.1630315095869 303.7596773870095 1162.3599651248173 546.624485187549],[873.477294921875 461.7960205078125 967.7413330078125 485.769775390625],0.4711081385612488,WI4,0.12791047990322113
109,165.0,[837.4478422274667 305.1452700316879 1150.6890432825198 548.0962115213509],[853.565673828125 461.25543212890625 944.618408203125 486.50848388671875],0.35379162430763245,5,0.019417524337768555
110,165.0,[828.1452015250701 306.7997917228762 1139.762700930414 550.12057034449],[847.412353515625 463.983154296875 927.275634765625 490.724853515625],0.5864863991737366,6946,0.1398411989212036
134,201.0,[356.95938830606485 277.74719396791767 813.9527464624272 595.5315866628416],[408.74468994140625 492.364990234375 499.5826416015625 517.599853515625],0.5965112447738647,0416,0.1094159334897995
135,201.0,[333.0102763777304 275.40764937528337 797.1988164383938 596.311919298073],[393.9248046875 493.31500244140625 488.291259765625 517.7145385742188],0.6437354683876038,16,0.24063846118222118
138,201.0,[255.3786856560313 272.68409515170276 748.0611800096065 603.2159312774828],[325.19000244140625 496.789306640625 419.35101318359375 522.781494140625],0.5571451187133789,426,0.2868979871273041
140,201.0,[204.13510240953025 272.5466425504829 712.7545630320142 609.2252779959699],[270.5014343261719 496.49554443359375 371.5119934082031 526.7155151367188],0.643257200717926,W,0.06804012220647038
141,201.0,[175.9173001439484 270.1735091475746 694.7211871264723 611.2689094880068],[237.5896453857422 497.69134521484375 345.45611572265625 529.2648315429688],0.6437755227088928,0,0.2834668826809114
142,201.0,[147.70987359501436 267.4035716370953 676.4848703682826 613.7875766751296],[213.11959838867188 498.890380859375 314.6040344238281 529.128662109375],0.6478455662727356,I6,0.1113766516661693
143,201.0,[120.1513149101421 264.4895655350582 658.012862741507 616.0268257084459],[186.7825927734375 498.62640380859375 291.50982666015625 529.2944946289062],0.7015511393547058,J6,0.20255748062197962
145,201.0,[61.283851040552406 258.32834865633674 627.8877077885818 622.6324497247764],[120.41619873046875 499.8819580078125 233.01251220703125 530.7911376953125],0.6845804452896118,46,0.013955579270487335
146,201.0,[27.344695207975917 254.81734222805017 606.5738068053422 625.7077001115093],[93.92080688476562 500.726318359375 198.46627807617188 531.603759765625],0.6978756189346313,7,0.05059325411319841
147,201.0,[1.3242644117456166 252.38683500153135 589.156668211136 628.6115297297433],[63.546478271484375 500.8529052734375 172.89169311523438 533.3927001953125],0.667731523513794,00,0.0747859850525856
148,201.0,[-15.11446703769883 248.02269105196675 569.3708660390487 628.570639967276],[30.718982696533203 501.18865966796875 144.6902618408203 534.9735717773438],0.6719068884849548,W6,0.5963826775550842
149,201.0,[-23.04845889676318 243.24696568525647 554.1961768908318 629.5648529069852],[0.0 501.2530517578125 116.69378662109375 536.1448974609375],0.6046304702758789,0,0.23127857276957595
150,201.0,[-28.860236916701695 242.77927544593572 535.2210397007475 632.6633399349846],[1.13555908203125 502.5667724609375 81.41876220703125 538.6326904296875],0.46666866540908813,4,0.878851712596088
151,201.0,[-30.65609433230378 240.09022931694446 519.8680302837543 634.687437948241],[0.0 499.943115234375 43.45033264160156 542.76806640625],0.4413297176361084,4J,0.5462785877856986
175,225.0,[633.950106042276 309.3423556222557 967.1267054499965 563.6375260683886],[720.1729736328125 497.191650390625 797.1771240234375 522.054443359375],0.4259384274482727,8ATDI,0.021409138050947272
177,225.0,[614.7992046609669 307.43122124629093 960.5232931929085 566.5590006866687],[700.3363037109375 495.648193359375 785.2330322265625 524.382080078125],0.3370431065559387,23L6NQ2,0.022490737823047093
