frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1202,1250,[855.374652003755 103.16414882459867 1280.7133626353245 615.1921951477598],[1083.4130859375 555.15185546875 1278.24072265625 606.006591796875],0.765528858,K40/07O651,0.015854302
1204,1250,[856.4427494054319 103.77712379044434 1280.319069078659 606.1512639268293],[1085.0152587890625 547.687744140625 1280.0 595.16357421875],0.800224006,KA0L106514,0.084237986
1205,1250,[856.8400585223603 105.00804679725573 1280.2681224429925 603.5803453505574],[1081.175048828125 533.5396728515625 1278.739013671875 592.7584228515625],0.802710235,KAOLNQ6514,0.078338672
1206,1250,[857.1756443419202 107.34936806168491 1280.1486029466196 603.7102133155435],[1076.26513671875 528.7251586914062 1278.1083984375 588.0912475585938],0.771107614,KA0L1O6512,0.108514506
1207,1250,[857.4746775161216 109.71002542185934 1280.095044046402 605.2739481476733],[1079.904541015625 523.5069580078125 1277.067138671875 582.8863525390625],0.683983445,KAOLH_6514,0.072306598
1208,1250,[858.0887899654698 110.50926406669288 1280.1502981918663 605.1854087441795],[1073.843017578125 523.8246459960938 1268.99951171875 573.1892700195312],0.759439111,KA0L706514,0.156282322
1209,1250,[858.9932787121473 108.73564904938843 1280.2676019691778 598.6591146398187],[1072.786376953125 519.5582885742188 1263.025146484375 567.1187133789062],0.788320482,KAOLH06514,0.16272505
1210,1250,[859.7709138591629 108.9402495786563 1280.2724272420612 595.511667329894],[1069.518798828125 513.515625 1259.51220703125 561.37548828125],0.7990973,AA0L106514,0.075565522
1211,1250,[860.7649792689729 110.74527173750016 1280.3645021109285 595.3914787349639],[1066.94873046875 504.454345703125 1255.79248046875 557.376953125],0.771702886,KA0LN06514,0.094917055
1212,1250,[861.837030924137 110.87781596611683 1280.4420738085748 592.4908761775183],[1066.843505859375 501.3585205078125 1251.453369140625 548.0916748046875],0.738267124,KA04I06514,0.040649473
1213,1250,[862.924398354184 112.51500836783214 1280.4833988544262 593.4026927567178],[1064.8189697265625 494.618896484375 1247.0543212890625 545.2490234375],0.748538435,KA0CNQ6514,0.058922655
1214,1250,[864.6449852318941 109.30106667231428 1280.802871891857 587.9882258452578],[1062.72021484375 492.4251708984375 1244.1396484375 535.8067626953125],0.771454096,KAOLN06S14,0.057949682
1215,1250,[866.7029879188491 108.30971854535099 1281.130130704377 586.010328491978],[1061.560791015625 485.2210388183594 1243.696533203125 531.5509033203125],0.762600124,KA0LH06514,0.06901695
1216,1250,[868.4280157660652 106.52460283048643 1281.1940425580344 580.8723397021557],[1059.406005859375 472.8317565917969 1243.430908203125 525.503173828125],0.767759383,KA0L1Q6512,0.10663001
1217,1250,[869.5368223654409 106.36409928015013 1281.0381457227995 576.4329506736119],[1055.72412109375 468.74163818359375 1238.92578125 516.4680786132812],0.710523605,KAOLN06512,0.09117811
1218,1250,[870.7499324509271 104.59065943842091 1280.958952443798 570.2145491885317],[1055.5748291015625 463.7327880859375 1233.5616455078125 508.888916015625],0.752485633,KA0ZH06514,0.056373962
1219,1250,[871.4775491307593 100.05992005705394 1280.7702198008974 557.1249878255242],[1056.9637451171875 458.41595458984375 1230.7781982421875 503.6190185546875],0.757808208,KA0L/06514,0.162105514
1220,1250,[872.1108509868336 97.28740839179869 1280.669333278558 544.1754400533816],[1057.9459228515625 449.779541015625 1227.8677978515625 497.07867431640625],0.764323592,KAOLM06512,0.260289322
1221,1250,[872.7103060554689 97.92398815026809 1280.4781752062243 538.4017084540366],[1052.271240234375 444.62200927734375 1224.920654296875 490.57330322265625],0.748194993,KA0LNO6512,0.167150299
1222,1250,[873.0136472320928 99.21752605789874 1280.2197051382495 534.4866907575074],[1047.9832763671875 437.6606750488281 1221.5843505859375 483.0614929199219],0.715392888,KA04N06512,0.106071208
1223,1250,[873.076613796778 100.01885837702088 1279.9175803198937 531.8763667767162],[1047.5634765625 436.21087646484375 1216.0302734375 479.93048095703125],0.69736141,KA0LM06512,0.165455913
1224,1250,[873.2260363634623 102.18239575287478 1279.7215894145593 531.5608873187573],[1049.8248291015625 432.16900634765625 1211.6287841796875 473.68841552734375],0.745940864,KAUGHQ6S12,0.034904774
1225,1250,[873.1063136201718 101.37412934930299 1279.4857710836911 524.2477624052783],[1043.9384765625 430.5831604003906 1207.8251953125 470.7483215332031],0.737838149,KAOLHQ6512,0.088537899
1226,1250,[872.7774927421935 102.28335265581813 1279.2419946840744 519.1472119424828],[1045.758544921875 428.37078857421875 1203.398193359375 466.33013916015625],0.741698444,KAOLHO6514,0.046211088
1227,1250,[872.0868035286386 102.22529378501812 1278.9444557319694 514.3279961425321],[1039.509765625 424.58538818359375 1196.96875 462.52801513671875],0.751171708,AOLN06S14,0.245699354
1228,1250,[871.1847306571519 102.85064326087482 1278.6300200685075 510.6284226162819],[1034.829833984375 418.65155029296875 1194.706787109375 458.93536376953125],0.748414516,KAOLH0651Z,0.04872545
1229,1250,[870.4515683608012 102.72115135801684 1278.4977441776236 506.82766889555546],[1027.172119140625 412.6629333496094 1189.7080078125 450.1426086425781],0.703702152,A0LHQ6514,0.128155192
1230,1250,[869.575253574955 103.73435848532424 1278.4476993328683 505.1440014864112],[1023.12548828125 407.3902587890625 1185.10009765625 448.7010498046875],0.711957037,KA0LN06512,0.106285536
1231,1250,[868.1676089615623 102.87085308103497 1278.195170278658 499.8198366776644],[1025.294189453125 404.0128173828125 1183.260986328125 442.0684814453125],0.686277628,AOKHQE514,0.045612071
1232,1250,[866.8641100649655 102.16834286201902 1278.065408119716 494.05234652669344],[1023.66455078125 401.27716064453125 1180.212646484375 439.1888427734375],0.749181509,AQLHO6514,0.035529166
1233,1250,[865.6431345839358 101.60139048664823 1277.9986321669314 488.30144390898306],[1017.6381225585938 401.1871032714844 1173.37353515625 436.2276916503906],0.737131596,KAMLHQ6514,0.175011512
1234,1250,[864.6007186953418 101.97210037857727 1277.9174792164947 482.92329786175594],[1019.97607421875 398.8453369140625 1169.4912109375 433.69329833984375],0.715046048,A0LNO6S14,0.033691066
1235,1250,[863.1651714312579 103.40591545252315 1277.4950706975442 480.5816717022566],[1019.4461669921875 396.1993408203125 1166.1514892578125 430.23529052734375],0.708914757,KA0LH06514,0.151302098
1244,1250,[840.9586487001837 105.18388096967166 1242.0243305504341 465.98262803141847],[990.7296142578125 375.4290771484375 1133.0343017578125 411.7728271484375],0.678015828,10L406514,0.134694608
1245,1250,[839.0659804050237 105.57896273100397 1237.6137228054242 463.98522571137784],[984.6668701171875 375.47259521484375 1130.4527587890625 412.29010009765625],0.68506372,X0L406512,0.186955637
1504,2101,[695.1348550367641 206.5165555000637 1258.2220597602363 673.6843880724616],[1005.9073486328125 399.16455078125 1157.4822998046875 464.3907470703125],0.751782179,AO5NC5241,0.169620169
1508,2101,[727.7326643629199 205.1215273778951 1287.8308060112784 678.4812694727885],[1037.72216796875 413.22589111328125 1190.42333984375 464.66229248046875],0.729317784,'OSNC5ZL1,0.103102364
1513,2101,[750.9771326925502 208.32005492425142 1289.8781033292596 684.2466955602018],[1061.05810546875 419.49169921875 1217.82861328125 468.00146484375],0.752089918,AOSNC52L1,0.111650312
1516,2101,[761.3757612489509 214.42760159791226 1288.536648024086 686.3958590345404],[1072.349365234375 422.8986511230469 1228.881591796875 468.6397399902344],0.754779577,'AOSNC5ZL1,0.081215364
1519,2101,[771.5513944727697 203.8347883001852 1287.7163660127915 680.8281345971669],[1084.833984375 421.65447998046875 1234.7529296875 467.85260009765625],0.786880553,AOSMC5241=,0.154884556
1522,2101,[779.7601179589935 205.25932559110873 1286.543838743478 683.0102320554024],[1092.64794921875 412.79351806640625 1250.66162109375 466.36492919921875],0.738782585,4O5NC52L1,0.336196171
1529,2101,[794.5849263155028 204.03542020022454 1284.3062018058895 677.4581177115629],[1113.339111328125 402.205322265625 1264.081298828125 463.7581787109375],0.731846273,{OSNC52L1,0.080954912
1530,2101,[795.9685961258122 201.40114881443097 1284.0775247862018 675.3521599366312],[1110.124267578125 400.92620849609375 1269.324951171875 465.99371337890625],0.707811892,105NC52L1,0.098346402
1552,2101,[809.0945748786621 197.86307745691033 1281.6696825326371 673.4944426424408],[1127.9237060546875 396.83111572265625 1278.5692138671875 462.44268798828125],0.735999584,KA05NC5241,0.108963351
1562,2101,[797.4669365577892 178.41065349151643 1278.6276793700965 645.3712365130356],[1110.80322265625 386.7498779296875 1259.370361328125 431.3017578125],0.763985276,KA05NC5241,0.142317287
1568,2101,[794.1263260897152 176.101943872841 1279.9908256942558 639.2229988930774],[1110.071533203125 378.74627685546875 1258.021240234375 435.65618896484375],0.767779231,AOSNC5241,0.144630266
1569,2101,[794.8024346805514 175.30492231544147 1280.3596786762387 638.5971295904967],[1107.9642333984375 385.21160888671875 1258.5303955078125 434.19781494140625],0.769013584,405NC5ZL1,0.090471693
1573,2101,[799.9815170339562 169.33960915919795 1281.493414612365 627.6247342289141],[1118.33056640625 386.7410888671875 1265.8515625 431.0760498046875],0.748817444,105NC52L1,0.119992699
1577,2101,[801.4344228639957 176.34466029819174 1280.443549473367 622.0195169895551],[1111.1029052734375 388.4855041503906 1261.9993896484375 433.6499938964844],0.733896255,4O5NC52L1,0.46253208
1578,2101,[800.7867914003731 178.94022796352968 1280.0949190040105 622.4522441563422],[1107.639404296875 390.8885498046875 1258.237548828125 434.5704345703125],0.781674445,2O5NC52L1,0.138820576
1581,2101,[798.3022870035911 187.27810112409622 1279.2897732322385 623.1719958998366],[1101.46728515625 393.6626892089844 1253.583984375 438.5544738769531],0.790023446,"405NC52L1,0.11518428501896916
1582,2101.0,[796.9692728242486 187.27602009042056 1279.0307778052472 621.8178940509454],[1098.994873046875 389.99560546875 1249.447998046875 437.537353515625],0.7766391634941101,AOSNC52L1,0.22516095804529312
1601,2101.0,[763.0564943411578 176.832828670348 1277.1835037754481 596.3127042514752],[1025.059326171875 366.9058837890625 1174.367919921875 402.4688720703125],0.7390810251235962,KAO5NC5ZL1,0.046350640738672344
1605,2101.0,[760.262490658695 178.65340419997267 1273.7679636911007 591.811106502004],[1020.0831909179688 367.643798828125 1164.472412109375 402.78570556640625],0.7701891660690308,R05NC52L1,0.11299424738394531
1609,2101.0,[767.0399938082342 179.30034788240147 1274.9677214949186 582.764325251934],[1022.6876220703125 364.8507080078125 1161.9471435546875 400.87982177734375],0.7614232897758484,ROSHC5ZK1,0.08598694791092643
1618,2101.0,[777.9338399715779 160.08715820117396 1257.4249311028027 537.0541275054763],[1005.999267578125 331.15283203125 1144.654296875 366.97412109375],0.6822725534439087,AOSHC5ZL1,0.3225748292085686
1623,2101.0,[773.7990409121417 152.10996587804806 1231.310834953421 511.4019257579167],[987.1416015625 309.9451904296875 1110.22607421875 342.8551025390625],0.5383207201957703,RO5NC52L1|,0.06159750983750902
1626,2101.0,[769.7605269242489 144.49697170600814 1212.2055328658587 493.7087980026515],[971.9231567382812 301.1446228027344 1092.654541015625 328.3965759277344],0.7257645130157471,EROSKC524},0.11614082668371162
1629,2101.0,[770.2126232828657 133.5902916520438 1193.983127957676 470.47150939792436],[958.1888427734375 279.3524475097656 1101.2923583984375 315.3429870605469],0.5109953284263611,KAOSNCSZL1,0.33439006933121235
1630,2101.0,[769.7577967360645 128.85427310518463 1185.120648656959 462.05975560786163],[954.8895263671875 274.66571044921875 1077.38525390625 310.5965576171875],0.6136513948440552,KAOSKC5ZL1,0.08475009632224562
1632,2101.0,[773.6495908593317 120.51005384381367 1173.2868201192223 445.378495852436],[950.89013671875 262.4906005859375 1070.129150390625 297.5015869140625],0.6946684718132019,AOSNCSZL1',0.021383396609088796
1637,2101.0,[780.7870968168666 81.91855372083012 1149.9525461314713 384.5777901002134],[932.1126708984375 210.31430053710938 1059.0865478515625 245.00933837890625],0.6980254054069519,KEOSN?5ZI1,0.02324105982982101
1638,2101.0,[779.7582186592794 69.97412124605992 1142.8697153367816 369.2143687599041],[933.3416748046875 197.727783203125 1043.834228515625 230.24737548828125],0.7003321051597595,JCSAC5ZL1,0.07292482321740634
1639,2101.0,[777.1293974666444 58.27978966668249 1134.0757932731653 353.6508544523846],[927.7425537109375 183.4840087890625 1049.2252197265625 219.48052978515625],0.4853037893772125,'PSNC5ZK1,0.03584560521367931
1789,2354.0,[910.2568278333428 113.13120872356419 1282.6015174401869 432.9065599371262],[1183.118896484375 354.42462158203125 1279.038330078125 388.46295166015625],0.7049407958984375,I4SIMF2191,0.10089679843120768
1790,2354.0,[909.1365704271841 112.56177436747984 1281.611786704211 427.5375914095032],[1174.284423828125 344.8912353515625 1271.986572265625 383.04400634765625],0.6154900193214417,K45{NFZT9},0.3201825212305019
1791,2354.0,[906.9303559840496 113.21686051147941 1280.531552549212 423.57034128419906],[1161.310791015625 340.28668212890625 1263.35546875 374.70404052734375],0.5946937799453735,XASTMF219=,0.1141923434726422
1792,2354.0,[904.8148518228581 114.26919461882682 1279.899632607744 418.87384881849806],[1151.9580078125 337.5166015625 1250.414794921875 370.67626953125],0.6546046137809753,KASINFZ199,0.489590732431979
1793,2354.0,[903.0601021834318 115.88170978562226 1279.6736442933347 415.15929325227734],[1140.20068359375 331.245361328125 1235.4384765625 369.34814453125],0.5056926608085632,KAS1NF219,0.12141140980474713
1794,2354.0,[901.582225526465 118.34012292420624 1279.5991368407056 412.7751390420514],[1133.765869140625 334.44818115234375 1226.545166015625 364.16009521484375],0.6163160800933838,KASIKF?159,0.25135381363056936
1795,2354.0,[899.3194999240189 120.22779403577198 1278.5155860919092 410.2812364712515],[1123.8056640625 331.2313232421875 1215.2939453125 365.3662109375],0.6561635136604309,MSTAF2191,0.08847992988490282
1803,2596.0,[893.8244800671234 144.16443250483397 1213.2676041838156 377.99496513480904],[1066.348876953125 309.89276123046875 1147.992919921875 341.28082275390625],0.35983386635780334,KASTAFZTR1,0.18057144091033242
1804,2596.0,[891.0675118725692 145.5850607044393 1202.651170936276 374.13183278811067],[1060.3173828125 306.28546142578125 1139.3251953125 336.88494873046875],0.2619139552116394,[4518F2191,0.24396565770379944
1805,2596.0,[887.5237054599022 146.46848019013913 1191.932950960853 370.87185504220844],[1041.8489990234375 299.299560546875 1133.1751708984375 336.0079345703125],0.5043348670005798,{ASIAF'191,0.044538804782705124
",
